line_number,line,isLOI,is_keyword,length,is_regular_expression,is_mathematical_calculation,is_collection_manipulation,is_string_manipulation,is_bit_manipulation,is_variable_assignment
0,from inline import Here,0,1,23,0,0,0,0,0,0
1,from typing import List,0,1,23,0,0,0,0,0,0
3,"def missingRolls(self, rolls: List[int], mean: int, n: int) -> List[int]:",0,1,73,0,1,0,0,0,0
4,m = len(rolls),0,0,14,0,0,0,0,0,1
5,curSum = sum(rolls),0,0,19,0,0,0,0,0,1
6,missingSum = mean * (n + m) - curSum,0,0,36,0,1,0,0,0,1
9,if missingSum < n or missingSum > 6*n: return [],0,1,48,0,1,0,0,0,0
11,"part, rem = divmod(missingSum, n)",0,0,33,0,0,0,0,0,1
12,ans = [part] * n,0,0,16,0,1,0,0,0,1
13,for i in range(rem):,0,1,20,0,0,0,0,0,0
15,"    return ans
",0,1,15,0,0,0,0,0,0
2,import math,0,1,11,0,0,0,0,0,0
3,from inline import Here,0,1,23,0,0,0,0,0,0
5,MAX_INT = 50,0,0,12,0,0,0,0,0,1
7,class Solution(object):,0,1,23,0,0,0,0,0,0
8,"def divide(self, dividend, divisor):",0,1,36,0,0,0,0,0,0
9,if divisor == 0:,0,1,16,0,0,0,0,0,0
10,return MAX_INT,0,1,14,0,0,0,0,0,0
11,if dividend == 0:,0,1,17,0,0,0,0,0,0
12,return 0,0,1,8,0,0,0,0,0,0
13,isPositive = (dividend < 0) == (divisor < 0),0,0,44,0,0,0,0,0,0
14,print(isPositive),1,0,17,0,0,0,0,0,0
17,m = abs(dividend),0,0,17,0,0,0,0,0,1
18,n = abs(divisor),0,0,16,0,0,0,0,0,1
20,res = math.log(m) - math.log(n),0,0,31,0,1,0,0,0,1
21,res = int(math.exp(res)),0,0,24,0,1,0,0,0,1
22,if isPositive:,0,1,14,0,0,0,0,0,0
23,"return min(res, 2147483647)",0,1,27,0,0,0,0,0,0
24,"return max(0 - res, -2147483648)",0,1,32,0,1,0,0,0,0
26,"Solution.divide(""s"", 5, 3)",0,0,26,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
1,from typing import List,0,1,23,0,0,0,0,0,0
3,"def minCostConnectPoints(self, points: List[List[int]]) -> int:",0,1,63,0,1,0,0,0,0
4,N = len(points),0,0,15,0,0,0,0,0,1
5,adj = {i: [] for i in range(N)}  ,0,1,33,0,0,0,0,0,1
6,for i in range(N):,0,1,18,0,0,0,0,0,0
7,"x1, y1 = points[i]",0,0,18,0,0,0,0,0,1
8,"for j in range(i + 1, N):",0,1,25,0,1,0,0,0,0
9,"x2, y2 = points[j]",0,0,18,0,0,0,0,0,1
10,dist = abs(x1 - x2) + abs(y1 - y2),1,0,34,0,1,0,0,0,1
12,"adj[i].append([dist, j])",0,0,24,0,0,1,0,0,0
13,"adj[j].append([dist, i])",0,0,24,0,0,1,0,0,0
16,res = 0,0,0,7,0,0,0,0,0,1
17,visit = set(),0,0,13,0,0,0,0,0,1
18,"minH = [[0, 0]]  ",0,0,17,0,0,0,0,0,1
19,while len(visit) < N:,0,1,21,0,0,0,0,0,0
20,"cost, i = heapq.heappop(minH)",0,0,29,0,0,1,0,0,1
21,if i in visit:,0,1,14,0,0,0,0,0,0
22,continue,0,1,8,0,0,0,0,0,0
23,res += cost,0,0,11,0,1,0,0,0,1
24,visit.add(i),0,0,12,0,0,0,0,0,0
25,"for neiCost, nei in adj[i]:",0,1,27,0,0,0,0,0,0
26,if nei not in visit:,0,1,20,0,0,0,0,0,0
28,"        return res
",0,1,19,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
1,from typing import List,0,1,23,0,0,0,0,0,0
3,"def maxArea(self, height: List[int]) -> int:",0,1,44,0,1,0,0,0,0
4,"l, r = 0, len(height) - 1",0,0,25,0,1,0,0,0,1
5,res = 0,0,0,7,0,0,0,0,0,1
6,while l < r:,0,1,12,0,0,0,0,0,0
7,"res = max(res, min(height[l], height[r]) * (r - l))",0,0,51,0,1,0,0,0,1
10,if height[l] < height[r]:,0,1,25,0,0,0,0,0,0
11,l += 1,0,0,6,0,1,0,0,0,1
12,elif height[r] <= height[l]:,0,1,28,0,0,0,0,0,1
14,"    return res
",0,1,15,0,0,0,0,0,0
2,from inline import Here,0,1,23,0,0,0,0,0,0
4,class Solution(object):,0,1,23,0,0,0,0,0,0
5,"def rotate(self, matrix):",0,1,25,0,0,0,0,0,0
6,"""""""",0,0,3,0,0,0,0,0,0
7,:type matrix: List[List[int]],0,0,29,0,0,0,0,0,0
8,":rtype: void Do not return anything, modify matrix in-place instead.",0,1,68,0,1,0,0,0,0
9,"""""""",0,0,3,0,0,0,0,0,0
11,if matrix is None or len(matrix) == 1:,1,1,38,0,0,0,0,0,0
13,return,0,1,6,0,0,0,0,0,0
14,ls = len(matrix),0,0,16,0,0,0,0,0,1
15,for i in range(ls / 2):,0,1,23,0,1,0,0,0,0
17,"begin, end = i, ls - 1 - i",0,0,26,0,1,0,0,0,1
18,for k in range(ls - 2 * i - 1):,0,1,31,0,1,0,0,0,0
19,temp = matrix[end - k][begin],0,0,29,0,1,0,0,0,1
20,matrix[end - k][begin] = matrix[end][end - k],0,0,45,0,1,0,0,0,1
21,matrix[end][end - k] = matrix[begin + k][end],0,0,45,0,1,0,0,0,1
22,matrix[begin + k][end] = matrix[begin][begin + k],0,0,49,0,1,0,0,0,1
23,matrix[begin][begin + k] = temp,0,0,31,0,1,0,0,0,1
24,return,0,1,6,0,0,0,0,0,0
26,if __name__ == '__main__':,0,1,26,0,0,0,0,0,0
28,s = Solution(),0,0,14,0,0,0,0,0,1
29,"s.rotate([[1,2,3,4],[5,6,7,8],[9,10,11,12],[13,14,15,16]])",0,0,58,0,0,0,0,0,0
32,"
",0,0,1,0,0,0,0,0,0
0,from typing import List,0,1,23,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
2,import math,0,1,11,0,0,0,0,0,0
4,"def minEatingSpeed(self, piles: List[int], h: int) -> int:",0,1,58,0,1,0,0,0,0
5,"l, r = 1, max(piles)",0,0,20,0,0,0,0,0,1
6,res = max(piles),0,0,16,0,0,0,0,0,1
7,while l <= r:,0,1,13,0,0,0,0,0,1
8,k = (l + r) // 2,0,0,16,0,1,0,0,0,1
9,totalTime = 0,0,0,13,0,0,0,0,0,1
10,for p in piles:,0,1,15,0,0,0,0,0,0
11,totalTime += math.ceil(p / k),0,0,29,0,1,0,0,0,1
14,if totalTime <= h:,0,1,18,0,0,0,0,0,1
15,"res = min(res, k)",0,0,17,0,0,0,0,0,1
16,r = k - 1,0,0,9,0,1,0,0,0,1
17,else:,0,1,5,0,0,0,0,0,0
19,"    return res
",0,1,15,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
1,from typing import List,0,1,23,0,0,0,0,0,0
3,"def search(self, nums: List[int], target: int) -> int:",0,1,54,0,1,0,0,0,0
4,"l, r = 0, len(nums) - 1",0,0,23,0,1,0,0,0,1
6,while l <= r:,0,1,13,0,0,0,0,0,1
7,m = l + ((r - l) // 2),0,0,22,0,1,0,0,0,1
10,if nums[m] > target:,0,1,20,0,0,0,0,0,0
11,r = m - 1,0,0,9,0,1,0,0,0,1
12,elif nums[m] < target:,0,1,22,0,0,0,0,0,0
13,l = m + 1,0,0,9,0,1,0,0,0,1
14,else:,0,1,5,0,0,0,0,0,0
16,"    return -1
",0,1,14,0,1,0,0,0,0
2,import math,0,1,11,0,0,0,0,0,0
