,line_number,line,isLOI,is_keyword,length,is_regular_expression,is_mathematical_calculation,is_collection_manipulation,is_string_manipulation,is_bit_manipulation,is_variable_assignment
1,0,from inline import Here,0,1,23,0,0,0,0,0,0
2,1,from typing import List,0,1,23,0,0,0,0,0,0
3,3,"def missingRolls(self, rolls: List[int], mean: int, n: int) -> List[int]:",0,1,73,0,1,0,0,0,0
4,4,m = len(rolls),1,0,14,0,0,0,0,0,1
5,5,curSum = sum(rolls),1,0,19,0,0,0,0,0,1
6,6,missingSum = mean * (n + m) - curSum,1,0,36,0,1,0,0,0,1
7,9,if missingSum < n or missingSum > 6*n: return [],0,1,48,0,1,0,0,0,0
8,11,"part, rem = divmod(missingSum, n)",0,0,33,0,0,0,0,0,0
9,12,ans = [part] * n,0,0,16,0,1,0,0,0,0
10,13,for i in range(rem):,0,1,20,0,0,0,0,0,0
11,15,"    return ans
",0,1,15,0,0,0,0,0,0
12,2,import math,0,1,11,0,0,0,0,0,0
13,3,from inline import Here,0,1,23,0,0,0,0,0,0
14,5,MAX_INT = 50,1,0,12,0,0,0,0,0,1
15,7,class Solution(object):,0,1,23,0,0,0,0,0,0
16,8,"def divide(self, dividend, divisor):",0,1,36,0,0,0,0,0,0
17,9,if divisor == 0:,0,1,16,0,0,0,0,0,0
18,10,return MAX_INT,0,1,14,0,0,0,0,0,0
19,11,if dividend == 0:,0,1,17,0,0,0,0,0,0
20,12,return 0,0,1,8,0,0,0,0,0,0
21,13,isPositive = (dividend < 0) == (divisor < 0),0,0,44,0,0,0,0,0,0
22,14,print(isPositive),1,0,17,0,0,0,0,0,0
23,17,m = abs(dividend),1,0,17,0,0,0,0,0,1
24,18,n = abs(divisor),1,0,16,0,0,0,0,0,1
25,20,res = math.log(m) - math.log(n),1,0,31,0,1,0,0,0,1
26,21,res = int(math.exp(res)),1,0,24,0,1,0,0,0,1
27,22,if isPositive:,0,1,14,0,0,0,0,0,0
28,23,"return min(res, 2147483647)",0,1,27,0,0,0,0,0,0
29,24,"return max(0 - res, -2147483648)",0,1,32,0,1,0,0,0,0
30,26,"Solution.divide(""s"", 5, 3)",0,0,26,0,0,0,0,0,0
31,0,from inline import Here,0,1,23,0,0,0,0,0,0
32,1,from typing import List,0,1,23,0,0,0,0,0,0
33,3,"def minCostConnectPoints(self, points: List[List[int]]) -> int:",0,1,63,0,1,0,0,0,0
34,4,N = len(points),1,0,15,0,0,0,0,0,1
35,5,adj = {i: [] for i in range(N)}  ,0,1,33,0,0,0,0,0,0
36,6,for i in range(N):,0,1,18,0,0,0,0,0,0
